label,ra,dec,theta
J0656-2228,6.94172416666667,-22.4737638888889,104.1258625
J0656-5449,6.94694166666667,-54.8208111111111,104.204125
J0658+0022,6.97089138888889,0.376472222222222,104.563370833333
J0659+1414,6.99670388888889,14.2393055555556,104.950558333333
J0700+6418,7.01050055555556,64.3031111111111,105.157508333333
J0709-5923,7.15903694444444,-59.3987777777778,107.385554166667
J0711+0931,7.19338333333333,9.52361111111111,107.90075
J0711-6830,7.19839605277778,-68.5132219166667,107.975940791667
J0719-2545,7.31871666666667,-25.7500638888889,109.78075
J0720-3125,7.34026722222222,-31.4305786111111,110.104008333333
J0721-2038,7.36191797222222,-20.6352947222222,110.428769583333
J0726-2612,7.43558888888889,-26.2105833333333,111.533833333333
J0729-1448,7.48790277777778,-14.8102222222222,112.318541666667
J0733-2345,7.55683333333333,-23.7656111111111,113.3525
J0734-1559,7.56666666666667,-15.9833333333333,113.5
J0735-62,7.58944444444444,-62.9666666666667,113.841666666667
J0737-2202,7.62890861111111,-22.0348111111111,114.433629166667
J0737-3039A,7.63090233861111,-30.6613095305556,114.463535079167
J0737-3039B,7.63090233861111,-30.6613095305556,114.463535079167
J0737+69,7.61666666666667,69.2333333333333,114.25
J0738-4042,7.64231361111111,-40.7113722222222,114.634704166667
J0740+41,7.68333333333333,41.0666666666667,115.25
J0742-2822,7.71362722222222,-28.3788222222222,115.704408333333
J0742+66,7.7,66.3333333333333,115.5
J0745-5353,7.75063888888889,-53.8561111111111,116.259583333333
J0746-4529,7.78319944444444,-45.4907361111111,116.747991666667
J0746+66,7.76666666666667,66.6,116.5
J0749-4247,7.83046527777778,-42.7950388888889,117.456979166667
J0750+57,7.83333333333333,57,117.5
J0754+3231,7.91130222222222,32.5322777777778,118.669533333333
J0758-1528,7.97474188888889,-15.4690938888889,119.621128333333
J0804-3647,8.07283333333333,-36.7931944444444,121.0925
J0806+08,8.10138888888889,8.28333333333333,121.520833333333
J0806-4123,8.1065,-41.37525,121.5975
J0807-5421,8.12977361111111,-54.35735,121.946604166667
J0808-3937,8.13656388888889,-39.6313611111111,122.048458333333
J0809-4753,8.16219166666667,-47.89865,122.432875
J0812-3905,8.20411166666667,-39.0969222222222,123.061675
J0814+7429,8.24986111111111,74.4849166666667,123.747916666667
J0815+0939,8.25243777777778,9.66408333333333,123.786566666667
J0818-3049,8.31369444444445,-30.8252777777778,124.705416666667
J0818-3232,8.30720416666667,-32.5418138888889,124.6080625
J0820-1350,8.34066158333333,-13.8488497222222,125.10992375
J0820-3826,8.34998111111111,-38.4452444444444,125.249716666667
J0820-3921,8.346975,-39.3654722222222,125.204625
J0820-4114,8.337625,-41.2434444444444,125.064375
J0821-4221,8.36239888888889,-42.3570722222222,125.435983333333
J0821-4300,8.36593480555556,-43.0047427777778,125.489022083333
J0823+0159,8.38604666666667,1.98678055555556,125.7907
J0824+00,8.40444444444445,0.45,126.066666666667
J0826+2637,8.44760647222222,26.623275,126.714097083333
J0831-4406,8.525675,-44.1033055555556,127.885125
J0834-4159,8.57119444444444,-41.9975,128.567916666667
J0834-60,8.58055555555556,-60.5833333333333,128.708333333333
J0835-3707,8.58418888888889,-37.1309722222222,128.762833333333
J0835-42,8.59361111111111,-42.5436111111111,128.904166666667
J0835-4510,8.58905874722222,-45.1763541944444,128.835881208333
J0837+0610,8.61823388888889,6.17071111111111,129.273508333333
J0837-24,8.62888888888889,-24.7966666666667,129.433333333333
J0837-4135,8.6225505,-41.587325,129.3382575
J0838-2621,8.63855583333333,-26.3582083333333,129.5783375
J0838-3947,8.64188888888889,-39.7894444444444,129.628333333333
J0840-5332,8.67607777777778,-53.5431944444444,130.141166666667
J0842-4851,8.70149166666667,-48.8557777777778,130.522375
J0843+0719,8.72606111111111,7.31327777777778,130.890916666667
J0843-5022,8.71941222222222,-50.3786388888889,130.791183333333
J0845-36,8.75,-36,131.25
J0847-4316,8.79925833333333,-43.2824444444444,131.988875
J0848+16,8.81472222222222,16.7166666666667,132.220833333333
J0849-6322,8.82849722222222,-63.3763888888889,132.427458333333
J0855-4644,8.92671666666667,-46.7370555555556,133.90075
J0855-4658,8.92210277777778,-46.9729444444444,133.831541666667
J0856-6137,8.94980833333333,-61.6314722222222,134.247125
J0857-4424,8.96532194444444,-44.4028666666667,134.479829166667
J0900-3144,9.01220934444444,-31.7419175,135.183140166667
J0901-4624,9.02781111111111,-46.4134722222222,135.417166666667
J0902-6325,9.04233333333333,-63.42,135.635
J0904-4246,9.08311111111111,-42.7705555555556,136.246666666667
J0904-7459,9.06966666666667,-74.9952222222222,136.045
J0905-4536,9.08997222222222,-45.6147222222222,136.349583333333
J0905-5127,9.09775611111111,-51.4635305555556,136.466341666667
J0905-6019,9.08756805555556,-60.3227944444444,136.313520833333
J0907-5157,9.12108333333333,-51.9664583333333,136.81625
J0908-1739,9.1439395,-17.6604638888889,137.1590925
J0908-4913,9.14320277777778,-49.2184722222222,137.148041666667
J0909-7212,9.16,-72.2023333333333,137.4
J0910+77,9.16666666666667,77.4666666666667,137.5
J0912-3851,9.21186111111111,-38.8508333333333,138.177916666667
J0919-6040,9.32440833333333,-60.6806666666667,139.866125
J0922+0638,9.37056166666667,6.63980555555556,140.558425
J0922-4949,9.3708225,-49.8200222222222,140.5623375
J0922-52,9.36666666666667,-52,140.5
J0923-31,9.39944444444444,-31.95,140.991666666667
J0924-5302,9.40241388888889,-53.0456111111111,141.036208333333
J0924-5814,9.40861111111111,-58.2351111111111,141.129166666667
J0927+23,9.46027777777778,23.7833333333333,141.904166666667
J0928+06,9.47888888888889,6.23333333333333,142.183333333333
J0932-3217,9.54420833333333,-32.2872777777778,143.163125
J0932-5327,9.53968333333333,-53.4530555555556,143.09525
J0934-4154,9.58283333333333,-41.9054166666667,143.7425
J0934-5249,9.57452777777778,-52.8242222222222,143.617916666667
J0940-5428,9.68283888888889,-54.4779444444444,145.242583333333
J0941-39,9.69388888888889,-39.6833333333333,145.408333333333
J0941-5244,9.69476305555556,-52.7345777777778,145.421445833333
J0942-5552,9.70439722222222,-55.8811944444444,145.565958333333
J0942-5657,9.71512833333333,-56.9620666666667,145.726925
J0943+1631,9.72502777777778,16.5269444444444,145.875416666667
J0943+22,9.72361111111111,22.9333333333333,145.854166666667
J0943+41,9.71666666666667,41.15,145.75
J0944-1354,9.74137663888889,-13.9115638888889,146.120649583333
J0945-4833,9.76062611111111,-48.5540277777778,146.409391666667
J0946+0951,9.76877777777778,9.86527777777778,146.531666666667
J0947+27,9.78944444444444,27.7,146.841666666667
J0949-6902,9.82237972222222,-69.0448888888889,147.335695833333
J0952-3839,9.87144444444444,-38.6528333333333,148.071666666667
J0953+0755,9.88591936111111,7.92659722222222,148.288790416667
J0954-5430,9.90167777777778,-54.5148611111111,148.525166666667
J0955-5304,9.92486111111111,-53.0713055555556,148.872916666667
J0957-06,9.95,-6.28333333333333,149.25
J0957-5432,9.96555833333333,-54.5344166666667,149.483375
J0959-4809,9.99062777777778,-48.1631944444444,149.859416666667
J1000-5149,10.0078169444444,-51.8328111111111,150.117254166667
J1001-5507,10.0272166666667,-55.1185277777778,150.40825
J1001-5559,10.0190555555556,-55.9833888888889,150.285833333333
J1001-5939,10.0256194444444,-59.6549444444444,150.384291666667
J1002-5559,10.0494166666667,-55.9936111111111,150.74125
J1002-5919,10.0390277777778,-59.327,150.585416666667
J1003-4747,10.0559944444444,-47.7838888888889,150.839916666667
J1006-6311,10.1101666666667,-63.1947777777778,151.6525
J1010+15,10.1666666666667,15.85,152.5
J1012+5307,10.2092872502778,53.1173890833333,153.139308754167
J1012-5830,10.21525,-58.5071111111111,153.22875
J1012-5857,10.2134722222222,-58.9611111111111,153.202083333333
J1013-5934,10.225515,-59.5740833333333,153.382725
J1014-48,10.2383333333333,-48.8283333333333,153.575
J1015-5719,10.2605444444444,-57.3202222222222,153.908166666667
J1016-5345,10.2753333333333,-53.7538333333333,154.13
J1016-5819,10.2700277777778,-58.3169861111111,154.050416666667
J1016-5857,10.2725444444444,-58.9533611111111,154.088166666667
J1017-5621,10.2869055555556,-56.3585277777778,154.303583333333
J1017-7156,10.2975911888889,-71.9449016277778,154.463867833333
J1019-5749,10.33115,-57.8183055555556,154.96725
J1020-5921,10.3372305555556,-59.3594444444444,155.058458333333
J1020-6026,10.3365,-60.4352222222222,155.0475
J1021-5601,10.3568944444444,-56.0308055555556,155.353416666667
J1022+1001,10.3827786111111,10.0313222222222,155.741679166667
J1022-5813,10.3744722222222,-58.225,155.617083333333
J1023+0038,10.3965797777778,0.644679305555556,155.948696666667
J1023-5746,10.3841388888889,-57.7680555555556,155.762083333333
J1024-0719,10.4107467944444,-7.32199166666667,156.161201916667
J1028-5819,10.4744444444444,-58.3181111111111,157.116666666667
J1031-6117,10.5172888888889,-61.2973888888889,157.759333333333
J1032-5206,10.541025,-52.1023611111111,158.115375
J1032-5911,10.5352777777778,-59.1666666666667,158.029166666667
J1035-6345,10.5841888888889,-63.7551138888889,158.762833333333
J1036-4926,10.6036313888889,-49.4393805555556,159.054470833333
J1036-6559,10.6055666666667,-65.9859083333333,159.0835
J1038+0032,10.6408147222222,0.545444444444444,159.612220833333
J1038-5831,10.6388055555556,-58.5242166666667,159.582083333333
J1041-1942,10.6933877777778,-19.7037805555556,160.400816666667
J1042-5521,10.7001694444444,-55.3515277777778,160.502541666667
J1043-6116,10.732025,-61.2807777777778,160.980375
J1044-5737,10.7424444444444,-57.6220277777778,161.136666666667
J1045-4509,10.7639415305556,-45.1650396388889,161.459122958333
J1046+0304,10.778675,3.06858333333333,161.680125
J1046-5813,10.7719083333333,-58.2310555555556,161.578625
J1047-58,10.7988888888889,-58.6833333333333,161.983333333333
J1047-6709,10.7911894444444,-67.164185,161.867841666667
J1048-5832,10.8033888888889,-58.5349444444444,162.050833333333
J1049-5833,10.83065,-58.5623888888889,162.45975
J1050-5953,10.8353111111111,-59.8892777777778,162.529666666667
J1052-5954,10.8772527777778,-59.91225,163.158791666667
J1052-6348,10.8814972222222,-63.8046111111111,163.222458333333
J1054-5943,10.9160416666667,-59.7205833333333,163.740625
J1054-5946,10.9084611111111,-59.7752777777778,163.626916666667
J1054-6452,10.9024555555556,-64.8770833333333,163.536833333333
J1055-6022,10.9301388888889,-60.3811111111111,163.952083333333
J1055-6028,10.9275527777778,-60.4770833333333,163.913291666667
