label,ra,dec,theta,p0,kPc
J0849-6322,8.82849722222222,-63.3763888888889,132.427458333333,0.367953256307,+8.35
J0855-4644,8.92671666666667,-46.7370555555556,133.90075,0.0646861308252,9.90
J0855-4658,8.92210277777778,-46.9729444444444,133.831541666667,0.57507238258,+28.35
J0856-6137,8.94980833333333,-61.6314722222222,134.247125,0.9625085573,6.53
J0857-4424,8.96532194444444,-44.4028666666667,134.479829166667,0.326774210079,6.53
J0900-3144,9.01220934444444,-31.7419175,135.183140166667,0.0111096491573889,0.82
J0902-6325,9.04233333333333,-63.42,135.635,0.6603133715,4.44
J0904-4246,9.08311111111111,-42.7705555555556,136.246666666667,0.9651709987,4.37
J0904-7459,9.06966666666667,-74.9952222222222,136.045,0.54955311909,4.41
J0905-4536,9.08997222222222,-45.6147222222222,136.349583333333,0.9882805974,6.35
J0905-5127,9.09775611111111,-51.4635305555556,136.466341666667,0.346287436779,8.38
J0905-6019,9.08756805555556,-60.3227944444444,136.313520833333,0.340854176542,4.40
J0907-5157,9.12108333333333,-51.9664583333333,136.81625,0.253556015011,2.63
J0908-4913,9.14320277777778,-49.2184722222222,137.148041666667,0.10675459250,6.66
J0909-7212,9.16,-72.2023333333333,137.4,1.3628899542,4.00
J0912-3851,9.21186111111111,-38.8508333333333,138.177916666667,1.526085076,0.62
J0919-6040,9.32440833333333,-60.6806666666667,139.866125,1.2169757230,3.54
J0922-52,9.36666666666667,-52,140.5,0.00968,3.76
J0924-5302,9.40241388888889,-53.0456111111111,141.036208333333,0.74629520954,5.61
J0924-5814,9.40861111111111,-58.2351111111111,141.129166666667,0.73950132654,1.87
J0927+23,9.46027777777778,23.7833333333333,141.904166666667,0.761886,+2.52
J0928+06,9.47888888888889,6.23333333333333,142.183333333333,2.0604,+2.88
J0932-3217,9.54420833333333,-32.2872777777778,143.163125,1.93162674308,3.84
J0934-4154,9.58283333333333,-41.9054166666667,143.7425,0.570409236430,3.20
J0934-5249,9.57452777777778,-52.8242222222222,143.617916666667,1.44477320982,2.93
J0941-39,9.69388888888889,-39.6833333333333,145.408333333333,0.58677841838,1.29
J0941-5244,9.69476305555556,-52.7345777777778,145.421445833333,0.65855761432,5.64
J0942-5552,9.70439722222222,-55.8811944444444,145.565958333333,0.66436748807,6.35
J0942-5657,9.71512833333333,-56.9620666666667,145.726925,0.808127417142,5.02
J0943+22,9.72361111111111,22.9333333333333,145.854166666667,0.532913,+2.39
J0943+41,9.71666666666667,41.15,145.75,2.229489,+2.33
J0945-4833,9.76062611111111,-48.5540277777778,146.409391666667,0.3315855987755,2.71
J0947+27,9.78944444444444,27.7,146.841666666667,0.85105,+2.33
J0949-6902,9.82237972222222,-69.0448888888889,147.335695833333,0.64001572416,+8.68
J0952-3839,9.87144444444444,-38.6528333333333,148.071666666667,1.3738151214,+8.44
J0955-5304,9.92486111111111,-53.0713055555556,148.872916666667,0.86211773933,4.87
J0957-06,9.95,-6.28333333333333,149.25,1.72370,+2.99
J0959-4809,9.99062777777778,-48.1631944444444,149.859416666667,0.67008576040,2.96
J1000-5149,10.0078169444444,-51.8328111111111,150.117254166667,0.2556770984252,2.33
J1001-5507,10.0272166666667,-55.1185277777778,150.40825,1.43658262920,3.59
J1002-5919,10.0390277777778,-59.327,150.585416666667,0.7134892535,15.13
J1003-4747,10.0559944444444,-47.7838888888889,150.839916666667,0.30707169975,3.44
J1006-6311,10.1101666666667,-63.1947777777778,151.6525,0.8357974680,9.30
J1012-5830,10.21525,-58.5071111111111,153.22875,2.1335912144,5.34
J1012-5857,10.2134722222222,-58.9611111111111,153.202083333333,0.8199114962,10.14
J1013-5934,10.225515,-59.5740833333333,153.382725,0.442900630729,11.32
J1014-48,10.2383333333333,-48.8283333333333,153.575,1.5088,3.30
J1015-5719,10.2605444444444,-57.3202222222222,153.908166666667,0.139881677595,4.87
J1016-5345,10.2753333333333,-53.7538333333333,154.13,0.7695835272,2.50
J1017-5621,10.2869055555556,-56.3585277777778,154.303583333333,0.50345881546,11.78
J1019-5749,10.33115,-57.8183055555556,154.96725,0.162498709997,+30.00
J1020-5921,10.3372305555556,-59.3594444444444,155.058458333333,1.23830534423,2.62
J1022-5813,10.3744722222222,-58.225,155.617083333333,1.6437260020,+30.00
J1023+0038,10.3965797777778,0.644679305555556,155.948696666667,0.0016879874440059,0.90
J1028-5819,10.4744444444444,-58.3181111111111,157.116666666667,0.0914032309,2.76
J1031-6117,10.5172888888889,-61.2973888888889,157.759333333333,0.306410837119,+30.00
J1032-5911,10.5352777777778,-59.1666666666667,158.029166666667,0.464208010,7.26
J1035-6345,10.5841888888889,-63.7551138888889,158.762833333333,0.579576736318,6.54
J1036-4926,10.6036313888889,-49.4393805555556,159.054470833333,0.510368133101,8.71
J1036-6559,10.6055666666667,-65.9859083333333,159.0835,0.53350188629,7.86
J1038+0032,10.6408147222222,0.545444444444444,159.612220833333,0.02885155795131,+2.36
J1038-5831,10.6388055555556,-58.5242166666667,159.582083333333,0.661992094032,2.43
J1042-5521,10.7001694444444,-55.3515277777778,160.502541666667,1.1708590770,6.98
